STORM NAME,LANDFALL DATE,format change,excel order date,DAMAGE RANK,CURRENT DAMAGE.2012,BASE DAMAGE,LANDFALL STATE,CATEGORY,WmaxLandfall
Charley,"Aug 17,1986","Aug 17, 1986",31641,197,"59,000,000","15,000,000",NC,1,75
Unnamed,"Aug 10,1987","Aug 10, 1987",31999,218,"21,000,000","7,400,000",TX,0,45
Floyd,"Oct 12,1987","Oct 12, 1987",32062,236,"1,400,000","500,000",FL,1,75
Beryl,"Aug 09,1988","Aug 09, 1988",32364,227,"7,000,000","3,000,000",LA,0,50
Chris,"Aug 28,1988","Aug 28, 1988",32383,235,"1,700,000","500,000",GA,0,45
Florence,"Sep 09,1988","Sep 09, 1988",32395,228,"7,000,000","2,920,000",LA,1,80
Gilbert,"Sep 16,1988","Sep 16, 1988",32402,161,"200,000,000","50,000,000",TX,3,125
Keith,"Nov 23,1988","Nov 23, 1988",32470,224,"11,000,000","3,000,000",FL,0,65
Allison,"Jun 26,1989","Jun 26, 1989",32685,87,"1,680,000,000","500,000,000",TX,0,45
Chantal,"Aug 01,1989","Aug 01, 1989",32721,151,"280,000,000","100,000,000",TX,1,80
Hugo,"Sep 21,1989","Sep 21, 1989",32772,21,"18,320,000,000","7,000,000,000",SC,4,140
Jerry,"Oct 15,1989","Oct 15, 1989",32796,159,"210,000,000","70,000,000",TX,1,85
Marco,"Oct 11,1990","Oct 11, 1990",33157,160,"210,000,000","57,000,000",FL,-1,35
Bob,"Aug 19,1991","Aug 19, 1991",33469,66,"3,620,000,000","1,500,000,000",RI,2,105
Andrew,"Aug 24,1992","Aug 24, 1992",33840,5,"64,520,000,000","24,000,000,000",FL,5,170
Andrew,"Aug 25,1992","Aug 25, 1992",33841,79,"2,250,000,000","1,000,000,000",LA,3,115
Arlene,"Jun 20,1993","Jun 20, 1993",34140,203,"47,000,000","22,000,000",TX,0,40
Emily,"Aug 31,1993","Aug 31, 1993",34212,182,"100,000,000","35,000,000",NC,3,115
Alberto,"Jul 03,1994","Jul 03, 1994",34518,98,"1,290,000,000","500,000,000",FL,0,65
Beryl,"Aug 15,1994","Aug 15, 1994",34561,166,"180,000,000","73,000,000",FL,0,60
Gordon,"Nov 16,1994","Nov 16, 1994",34654,102,"1,230,000,000","400,000,000",FL,0,50
Allison,"Jun 05,1995","Jun 05, 1995",34855,234,"4,600,000","1,700,000",FL,0,70
Dean,"Jul 30,1995","Jul 30, 1995",34910,237,"1,200,000","500,000",TX,0,45
Erin,"Aug 02,1995","Aug 02, 1995",34913,119,"830,000,000","350,000,000",FL,1,85
Erin,"Aug 03,1995","Aug 03, 1995",34914,121,"820,000,000","350,000,000",FL,2,100
Jerry,"Aug 23,1995","Aug 23, 1995",34934,181,"110,000,000","40,600,000",FL,0,40
Opal,"Oct 04,1995","Oct 04, 1995",34976,40,"7,490,000,000","3,000,000,000",FL,3,115
Bertha,"Jul 12,1996","Jul 12, 1996",35258,126,"610,000,000","270,000,000",NC,2,105
Fran,"Sep 05,1996","Sep 05, 1996",35313,41,"7,260,000,000","3,200,000,000",NC,3,115
Josephine,"Oct 07,1996","Oct 07, 1996",35345,148,"310,000,000","130,000,000",FL,0,70
Danny,"Jul 19,1997","Jul 19, 1997",35630,162,"200,000,000","100,000,000",LA,1,75
Charley,"Aug 22,1998","Aug 22, 1998",36029,187,"90,000,000","50,000,000",TX,0,45
Bonnie,"Aug 26,1998","Aug 26, 1998",36033,91,"1,440,000,000","720,000,000",NC,2,110
Earl,"Sep 02,1998","Sep 02, 1998",36040,172,"150,000,000","79,000,000",FL,1,80
Frances,"Sep 13,1998","Sep 13, 1998",36051,113,"970,000,000","500,000,000",TX,0,50
Georges,"Sep 25,1998","Sep 25, 1998",36063,108,"1,130,000,000","680,000,000",FL,2,105
Georges,"Sep 28,1998","Sep 28, 1998",36066,70,"2,970,000,000","1,630,000,000",MS,2,105
Mitch,"Nov 05,1998","Nov 05, 1998",36104,186,"91,000,000","40,000,000",FL,0,65
Bret,"Aug 22,1999","Aug 22, 1999",36394,190,"80,000,000","60,000,000",TX,3,115
Dennis,"Sep 04,1999","Sep 04, 1999",36407,153,"270,000,000","157,000,000",NC,0,70
Floyd,"Sep 16,1999","Sep 16, 1999",36419,38,"7,700,000,000","4,500,000,000",NC,2,105
Harvey,"Sep 21,1999","Sep 21, 1999",36424,213,"30,000,000","15,000,000",FL,0,60
Irene,"Oct 15,1999","Oct 15, 1999",36448,92,"1,430,000,000","800,000,000",FL,1,80
Gordon,"Sep 17,2000","Sep 17, 2000",36786,219,"20,000,000","10,800,000",FL,0,65
Helene,"Sep 25,2000","Sep 25, 2000",36794,214,"29,000,000","16,000,000",FL,0,40
Allison,"Jun 05,2001","Jun 05, 2001",37047,35,"8,330,000,000","5,000,000,000",TX,0,50
Barry,"Aug 05,2001","Aug 05, 2001",37108,201,"51,000,000","30,000,000",FL,0,70
Gabrielle,"Sep 14,2001","Sep 14, 2001",37148,141,"390,000,000","230,000,000",FL,0,70
